GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,467935,2923052,google.com,com,1,1,471336,2984236
2,2,facebook.com,com,456154,2983353,facebook.com,com,2,2,459142,3046729
3,3,youtube.com,com,415276,2406165,youtube.com,com,3,3,418742,2463875
4,4,twitter.com,com,407368,2413303,twitter.com,com,4,4,410535,2468148
5,5,microsoft.com,com,306620,1171243,microsoft.com,com,5,5,310087,1187476
6,6,linkedin.com,com,296885,1337100,linkedin.com,com,6,6,299981,1369494
7,1,wikipedia.org,org,288751,1224946,wikipedia.org,org,7,1,292137,1253059
8,7,plus.google.com,com,285259,1430151,plus.google.com,com,8,7,288167,1460426
9,8,instagram.com,com,283775,1382503,instagram.com,com,9,8,286694,1412153
10,9,apple.com,com,278603,1044239,apple.com,com,10,9,282299,1069929
11,10,adobe.com,com,249773,858651,adobe.com,com,11,10,252873,873405
12,2,en.wikipedia.org,org,241549,896270,en.wikipedia.org,org,12,2,244743,919110
13,11,blogspot.com,com,233341,906972,blogspot.com,com,13,11,236660,930415
14,12,itunes.apple.com,com,231409,757572,itunes.apple.com,com,14,12,234911,777575
15,13,wordpress.com,com,228614,878170,wordpress.com,com,15,13,232098,900289
16,1,youtu.be,be,218611,780038,youtu.be,be,16,1,222268,803785
17,14,vimeo.com,com,217879,884083,vimeo.com,com,17,14,220875,908246
18,15,pinterest.com,com,215145,958234,pinterest.com,com,18,15,217918,980717
19,1,goo.gl,gl,214701,760341,goo.gl,gl,19,1,217691,777501
20,16,maps.google.com,com,210859,766330,maps.google.com,com,20,16,213742,784548
21,17,play.google.com,com,206416,639369,play.google.com,com,21,17,209635,655227
22,18,googletagmanager.com,com,197457,665912,googletagmanager.com,com,22,18,200321,684048
23,19,yahoo.com,com,194825,603460,yahoo.com,com,23,19,197789,617927
24,20,amazon.com,com,187711,632110,amazon.com,com,24,20,190482,649679
25,1,bit.ly,ly,182768,588080,bit.ly,ly,25,1,185944,605587
26,21,player.vimeo.com,com,182371,697897,player.vimeo.com,com,26,21,184960,716982
27,3,wordpress.org,org,175543,696819,wordpress.org,org,28,3,175936,700245
28,22,docs.google.com,com,175447,549145,docs.google.com,com,27,22,177951,561526
29,23,tumblr.com,com,172682,613574,tumblr.com,com,29,23,174693,625481
30,24,github.com,com,170929,499627,github.com,com,30,24,172320,505225
31,25,godaddy.com,com,170310,562209,godaddy.com,com,31,25,170879,565209
32,4,mozilla.org,org,164219,481738,mozilla.org,org,33,4,166706,491890
33,26,flickr.com,com,164118,526342,flickr.com,com,32,26,166730,539503
34,27,mcc.godaddy.com,com,153634,483525,mcc.godaddy.com,com,36,28,153914,484143
35,5,w3.org,org,153211,381668,w3.org,org,35,5,154828,386859
36,28,go.microsoft.com,com,153206,519520,go.microsoft.com,com,34,27,154880,521224
37,29,get.adobe.com,com,148514,386225,get.adobe.com,com,37,29,153161,401568
38,6,apache.org,org,147872,336841,apache.org,org,38,6,149084,340162
39,30,gravatar.com,com,145145,491175,gravatar.com,com,39,30,145607,493685
40,1,sourceforge.net,net,142343,339943,sourceforge.net,net,40,1,143920,344888
41,31,nytimes.com,com,135910,388583,nytimes.com,com,41,31,138583,401844
42,32,drive.google.com,com,133033,362359,drive.google.com,com,42,32,134901,369257
43,1,europa.eu,eu,131367,417787,europa.eu,eu,43,1,133380,429383
44,33,reddit.com,com,128954,410578,reddit.com,com,44,33,130357,417867
45,1,t.co,co,126298,373086,t.co,co,45,1,128242,382010
46,34,soundcloud.com,com,126142,398042,soundcloud.com,com,47,35,127849,406454
47,35,sites.google.com,com,126012,315894,sites.google.com,com,46,34,127960,322659
48,36,support.google.com,com,125823,405575,support.google.com,com,48,36,127845,415841
